학정번호,학기,과목명,분반,이수,수업시수,담당교수,요일1,시간1,요일2,시간2,요일3,시간3,수강 인원,선수과목
0000-2-0254-01,2020-1,교육과정,교직,교양,2,김효선,월,7,월,8,,,15,
0000-2-0258-01,2020-1,교육방법및교육공학,교직,교양,2,김난희,월,1,월,2,,,15,
0000-2-0263-01,2020-1,교육심리,교직,교양,2,김경령,금,1,금,2,,,15,
0000-2-0268-01,2020-1,교육학개론,교직,교양,2,방재임,금,7,금,8,,,15,
0000-2-9749-01,2020-1,특수교육학개론,교직,교양,2,부인앵,수,5,수,6,,,15,
0000-3-7468-01,2020-1,평생교육론,교직,교양,2,방재임,금,5,금,6,,,15,
0000-3-8604-01,2020-1,부모교육론,교직,교양,2,김성길,수,5,수,6,,,15,
0000-4-0262-01,2020-1,교육실습,교직,교양,2,박경애,수,3,수,4,,,15,
0000-4-6585-01,2020-1,교직실무,교직,교양,2,김경령,금,3,금,4,,,15,
0000-4-6732-01,2020-1,교육봉사활동,교직,교양,2,최윤희,토,1,토,2,,,15,
0000-3-6231-01,2020-1,교직논리및논술(상업정보),교직,전공,3,김효선,월,5,월,6,,,15,
H000-1-3095-01,2020-1,융합적사고와글쓰기,C1,교양,3,전도현,월,1,수,2,,,10,
H000-1-3095-02,2020-1,융합적사고와글쓰기,C2,교양,3,전도현,월,2,수,1,,,10,
H000-1-3095-03,2020-1,융합적사고와글쓰기,C3,교양,3,정재훈,월,5,수,6,,,10,
H000-1-3095-04,2020-1,융합적사고와글쓰기,C4,교양,3,정재훈,월,6,수,5,,,10,
H000-1-3095-05,2020-1,융합적사고와글쓰기,C5,교양,3,김광섭,화,2,목,1,,,10,
H000-1-3095-06,2020-1,융합적사고와글쓰기,C6,교양,3,김영건,화,6,목,5,,,10,
H000-1-3095-07,2020-1,융합적사고와글쓰기,C7,교양,3,김영건,화,5,목,6,,,10,
H000-1-3095-08,2020-1,융합적사고와글쓰기,C8,교양,3,전형철,금,1,금,2,,,10,
H000-1-3095-09,2020-1,융합적사고와글쓰기,C9,교양,3,전형철,금,3,금,4,,,10,
H000-1-3414-01,2020-1,대학물리및실험1,C1,교양,3,김진배,수,5,수,6,금,4,10,
H000-1-3414-02,2020-1,대학물리및실험1,C2,교양,3,백구연,화,3,화,4,목,4,10,
H000-1-3414-03,2020-1,대학물리및실험1,C3,교양,3,구제환,화,4,목,3,목,4,10,
H000-1-3415-01,2020-1,대학화학및실험1,컴퓨터정보공학부,교양,3,최한,화,3,화,4,목,4,10,
H000-1-3415-02,2020-1,대학화학및실험1,컴퓨터소프트웨어학부,교양,3,장홍제,화,5,화,6,목,6,10,
H000-1-4625-01,2020-1,대학수학및연습1,C1,교양,3,연윤정,월,2,수,1,,,20,
H000-1-4625-02,2020-1,대학수학및연습1,C2,교양,3,최현옥,월,3,수,4,,,20,
H000-1-4625-03,2020-1,대학수학및연습1,C3,교양,3,권윤기,월,6,수,5,,,20,
H000-1-4625-04,2020-1,대학수학및연습1,C4,교양,3,박주희,화,1,목,2,,,20,
H000-1-4625-05,2020-1,대학수학및연습1,C5,교양,3,박정준,금,1,금,2,,,20,
H000-1-4625-06,2020-1,대학수학및연습1,C6,교양,3,유다혜,금,5,금,6,,,20,
H000-1-4628-01,2020-1,기초수학및연습,컴퓨터정보공학부,교양,3,최종성,금,5,금,6,,,10,
H000-1-9756-01,2020-1,발명고안디자인,,교양,3,박수원,월,2,수,1,,,10,
H000-2-4969-01,2020-1,공학수학1,,교양,3,최윤철,월,1,수,2,,,20,
H000-2-4969-02,2020-1,공학수학1,,교양,3,박주희,화,2,목,1,,,20,
H000-2-4969-03,2020-1,공학수학1,,교양,3,최윤철,월,2,수,1,,,20,
H000-3-7905-01,2020-1,공학기술과사회,,교양,3,민상원,목,5,목,6,,,20,
H020-1-0019-01,2020-1,C프로그래밍,C1,교양,3,최강임,월,1,수,2,,,20,
H020-1-0019-02,2020-1,C프로그래밍,C2,교양,3,이기훈,월,2,수,1,,,20,
H020-1-0019-03,2020-1,C프로그래밍,C3,교양,3,황호영,월,3,수,4,,,20,
